CGPA,Internships,Projects,Workshops/Certification,AptitudeTestScore,Skill Test Score,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
3.29,0,1,0,79,4.3,No,No,63,73,NotPlaced
3.29,1,1,1,64,4.3,No,Yes,73,73,NotPlaced
3.78,1,2,2,90,4.8,Yes,Yes,80,86,Placed
3.56,1,3,0,80,4.4,Yes,Yes,85,84,Placed
2.89,1,1,1,72,3.8,No,No,64,67,NotPlaced
3.73,1,1,0,81,4.6,Yes,No,78,82,Placed
3.87,0,3,2,88,4.8,No,No,87,84,NotPlaced
3.56,0,1,0,60,4,No,No,57,70,NotPlaced
3.73,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced
3.64,2,3,2,90,4.4,Yes,Yes,90,81,Placed
3.6,2,2,2,90,4.5,Yes,Yes,73,82,Placed
3.51,1,3,1,75,3.7,No,Yes,62,65,NotPlaced
3.96,2,3,2,90,4.8,Yes,Yes,69,85,Placed
2.89,1,1,1,72,4.5,No,No,66,70,NotPlaced
3.38,1,1,0,73,4.3,No,Yes,55,76,Placed
3.73,1,3,2,90,4.6,Yes,Yes,67,80,Placed
3.47,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced
3.73,1,2,1,74,4.3,Yes,Yes,59,80,Placed
3.38,1,2,0,74,3.7,No,Yes,58,74,Placed
3.51,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced
3.51,1,3,1,80,4.2,Yes,Yes,56,82,Placed
3.56,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced
3.51,2,1,0,83,4,Yes,Yes,63,70,NotPlaced
3.73,2,3,2,90,4.8,Yes,Yes,90,85,Placed
3.82,0,3,2,90,4.8,Yes,Yes,73,78,Placed
3.47,0,1,0,81,3.9,Yes,Yes,79,65,Placed
3.6,2,3,3,90,4.8,Yes,Yes,80,83,Placed
3.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced
3.42,0,1,0,81,4.8,Yes,Yes,69,63,Placed
3.73,1,3,2,90,4.5,Yes,Yes,79,86,Placed
3.56,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced
3.47,0,1,1,72,4,No,No,61,69,NotPlaced
2.89,1,1,0,63,3.5,No,No,56,64,NotPlaced
2.89,0,3,0,71,3.6,No,Yes,57,74,NotPlaced
3.51,1,2,1,81,4,Yes,Yes,60,71,NotPlaced
2.98,1,1,0,75,4.2,No,No,56,64,NotPlaced
3.07,0,1,0,73,4.1,No,Yes,55,69,Placed
2.89,1,1,2,85,4.3,Yes,No,62,72,Placed
2.89,0,1,1,79,3.9,No,No,55,66,NotPlaced
3.24,1,1,1,71,3.6,No,No,65,64,NotPlaced
3.69,2,3,0,71,4.6,Yes,Yes,77,82,Placed
3.33,1,1,1,74,3.9,No,No,63,65,NotPlaced
3.56,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced
3.69,1,2,1,69,3.8,No,Yes,76,71,NotPlaced
2.93,0,3,0,87,4.5,No,No,80,82,NotPlaced
3.29,0,3,0,90,4.6,No,No,65,70,NotPlaced
3.56,1,1,1,78,4.4,No,No,66,68,NotPlaced
3.56,2,3,2,90,4.8,Yes,Yes,78,86,Placed
2.98,1,2,0,73,4.5,No,Yes,55,65,NotPlaced
3.69,1,2,3,78,3.8,Yes,No,67,65,NotPlaced
3.78,1,3,2,90,4.8,Yes,Yes,61,86,Placed
3.33,2,1,2,90,4.8,Yes,No,55,65,NotPlaced
3.29,1,1,0,60,3.4,No,No,58,62,NotPlaced
3.73,0,1,2,88,4.8,Yes,Yes,74,82,Placed
3.64,1,3,0,82,4.8,Yes,Yes,70,73,Placed
2.89,1,1,0,74,4.2,No,Yes,74,61,NotPlaced
3.42,1,1,0,71,4.7,No,Yes,57,69,NotPlaced
3.24,1,2,2,67,4.5,No,No,63,66,NotPlaced
2.89,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced
2.89,1,1,1,68,4.1,No,No,55,65,NotPlaced
3.33,1,1,0,76,4.3,No,Yes,73,79,NotPlaced
3.47,1,1,1,65,3.9,No,No,55,70,NotPlaced
3.02,1,1,0,78,4.3,No,No,61,62,NotPlaced
3.73,2,3,2,90,4.1,Yes,Yes,76,82,Placed
3.47,2,2,2,80,4.6,No,Yes,59,74,Placed
3.33,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced
3.96,0,1,2,80,4.8,Yes,Yes,75,82,Placed
2.89,0,1,0,75,3.7,No,No,58,62,NotPlaced
3.73,1,1,2,87,4.1,No,No,78,70,NotPlaced
3.6,0,1,0,71,3.6,Yes,No,69,67,NotPlaced
3.78,2,3,0,86,4.2,Yes,Yes,60,85,Placed
3.38,1,1,1,82,4.8,Yes,Yes,79,86,Placed
3.47,2,3,0,79,4.3,Yes,No,87,87,NotPlaced
3.82,1,3,2,90,4.7,Yes,Yes,68,84,Placed
3.51,2,3,2,76,4.6,Yes,Yes,79,82,Placed
2.89,0,2,2,75,4.5,Yes,No,65,59,NotPlaced
3.64,0,2,1,82,4.5,Yes,Yes,78,87,Placed
3.64,1,1,0,81,4.3,Yes,Yes,60,70,Placed
3.38,1,1,0,64,4.1,No,No,69,67,NotPlaced
3.24,1,2,1,84,4.6,No,Yes,55,72,NotPlaced
3.73,2,3,2,90,4.5,Yes,Yes,85,79,Placed
3.69,2,3,3,90,4.5,Yes,Yes,70,88,Placed
3.47,1,3,0,88,4.8,Yes,Yes,70,78,Placed
3.69,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced
3.33,1,1,1,69,4.1,No,No,55,75,NotPlaced
3.82,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced
3.47,2,2,2,77,4.2,Yes,No,57,69,NotPlaced
2.93,1,1,1,71,4.3,No,No,70,66,NotPlaced
3.29,0,1,1,70,4.2,No,No,61,70,NotPlaced
3.07,1,2,1,74,4.1,No,No,55,69,NotPlaced
2.93,1,1,0,77,4.5,No,No,62,70,NotPlaced
3.69,1,2,2,88,4.1,Yes,Yes,80,79,Placed
3.51,2,2,2,88,4.8,Yes,Yes,81,85,Placed
2.93,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced
3.56,2,3,2,86,4.8,Yes,Yes,62,83,Placed
3.33,1,2,0,86,3.8,No,No,55,68,NotPlaced
3.51,2,3,2,90,4.8,Yes,No,81,78,NotPlaced
3.69,1,3,2,78,3.9,Yes,Yes,60,61,Placed
3.29,1,1,0,74,3.5,No,Yes,67,62,NotPlaced
3.56,2,2,2,87,3.8,Yes,Yes,79,78,Placed
3.87,2,3,2,87,4.7,Yes,Yes,80,84,Placed
3.29,1,2,0,77,4.5,No,Yes,66,86,NotPlaced
3.51,2,3,2,90,4.8,Yes,Yes,83,88,Placed
3.33,1,1,1,70,4.6,No,No,59,66,NotPlaced
3.29,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced
3.42,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced
3.47,0,1,1,70,3.8,No,Yes,73,73,NotPlaced
3.33,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced
3.64,2,3,1,69,4,Yes,Yes,77,82,NotPlaced
3.47,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced
3.38,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced
3.78,2,3,2,90,4.8,Yes,Yes,80,79,Placed
2.98,0,1,1,71,4.7,No,Yes,76,70,NotPlaced
3.38,1,3,0,82,4.5,No,Yes,56,72,NotPlaced
3.38,0,2,0,80,3.7,Yes,No,85,61,NotPlaced
3.24,1,2,0,71,4.4,No,Yes,58,67,NotPlaced
3.6,1,2,1,78,3.5,No,Yes,71,70,NotPlaced
3.38,2,3,0,88,4.4,No,Yes,80,68,Placed
3.29,1,2,0,77,3.8,No,Yes,59,63,NotPlaced
3.73,0,2,1,85,4.3,Yes,Yes,62,81,Placed
2.98,1,2,1,73,4.3,No,Yes,71,66,NotPlaced
2.89,1,1,0,70,4.7,No,Yes,79,64,NotPlaced
3.29,1,2,1,68,3.4,No,Yes,57,61,NotPlaced
3.73,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced
2.89,1,1,0,68,4.3,No,Yes,55,70,NotPlaced
2.93,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced
3.6,0,2,2,80,4.4,Yes,No,82,85,Placed
2.89,1,1,0,74,4.2,No,No,59,65,NotPlaced
3.78,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced
3.87,2,3,2,90,4.8,Yes,Yes,83,81,Placed
3.33,1,2,3,86,4.8,No,Yes,60,67,NotPlaced
3.6,2,3,2,90,4.8,Yes,Yes,86,88,Placed
3.64,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced
3.87,2,1,0,66,4.8,Yes,No,70,59,NotPlaced
2.93,0,1,2,72,4.2,No,Yes,86,88,Placed
3.6,0,2,3,78,4.1,Yes,Yes,81,78,Placed
2.89,1,3,0,80,3.7,No,No,59,66,NotPlaced
3.29,1,1,0,88,4.5,No,Yes,76,71,Placed
3.64,2,3,2,80,4.8,Yes,Yes,79,84,Placed
3.02,2,2,2,80,4.6,No,Yes,61,69,NotPlaced
3.56,1,2,1,76,4.5,No,Yes,68,75,NotPlaced
3.78,1,3,0,82,4.4,Yes,Yes,68,88,Placed
2.93,1,2,1,65,4.1,No,No,56,58,NotPlaced
3.73,1,2,0,79,3.8,No,Yes,60,64,NotPlaced
3.47,1,1,1,79,3.7,No,Yes,56,59,NotPlaced
3.42,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced
3.02,1,1,0,73,3.7,No,Yes,55,65,NotPlaced
3.24,1,2,1,71,4.7,No,No,59,57,NotPlaced
2.89,2,2,2,79,4.5,Yes,Yes,83,87,Placed
3.69,2,1,1,83,4.5,Yes,Yes,82,86,NotPlaced
3.24,1,2,1,79,3.8,No,Yes,58,73,NotPlaced
3.02,1,2,1,65,3.9,Yes,Yes,71,85,Placed
3.87,1,3,2,90,4.8,Yes,Yes,69,88,Placed
3.69,2,3,1,90,4.8,Yes,No,55,80,Placed
3.64,1,2,1,79,3.8,Yes,Yes,55,70,NotPlaced
3.64,1,1,2,86,4.4,No,No,76,82,NotPlaced
3.78,0,2,0,81,3.2,No,Yes,55,63,NotPlaced
3.56,0,1,1,87,3.8,No,Yes,55,71,NotPlaced
3.51,1,1,0,77,4.7,Yes,Yes,64,60,NotPlaced
3.42,1,1,2,82,4.4,No,No,55,70,NotPlaced
3.38,0,3,3,75,4.3,Yes,Yes,82,87,Placed
2.98,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced
3.78,0,2,2,75,4.5,Yes,No,76,83,Placed
3.91,1,2,2,90,4.8,Yes,No,75,88,Placed
2.89,2,3,1,82,4.6,Yes,No,83,63,NotPlaced
3.33,0,1,1,80,4.2,Yes,No,84,64,NotPlaced
3.42,2,3,2,78,4.6,Yes,Yes,78,83,NotPlaced
3.42,0,1,0,79,4.8,No,Yes,58,71,NotPlaced
3.82,1,1,2,84,4.3,Yes,Yes,57,82,Placed
3.33,0,2,0,69,3.6,No,No,61,59,NotPlaced
3.02,1,1,0,68,4.3,No,Yes,65,69,NotPlaced
3.6,0,3,2,90,4.8,Yes,Yes,69,84,NotPlaced
3.73,2,3,3,82,4.5,Yes,No,82,85,Placed
3.33,1,1,0,67,3.4,No,No,65,71,NotPlaced
3.6,1,3,0,70,4.8,Yes,No,71,72,NotPlaced
3.29,1,1,1,64,4,No,No,55,62,NotPlaced
3.73,2,3,2,80,4.6,Yes,Yes,72,79,Placed
3.64,0,3,2,90,4.8,Yes,Yes,79,80,Placed
3.56,1,2,1,80,4.3,No,Yes,71,61,NotPlaced
3.51,0,3,2,90,4.8,Yes,Yes,68,83,Placed
3.02,0,1,0,77,3.3,No,No,64,69,NotPlaced
3.69,2,3,2,82,4.6,Yes,Yes,76,85,Placed
3.29,1,2,1,75,4.3,No,Yes,55,85,NotPlaced
3.38,1,1,0,66,4.1,No,Yes,62,73,NotPlaced
3.78,2,3,1,90,4.8,Yes,Yes,78,82,NotPlaced
3.64,2,3,2,90,4.6,Yes,Yes,77,88,Placed
3.64,1,3,2,90,4.3,No,Yes,77,82,Placed
2.89,1,1,0,79,3.6,No,Yes,55,64,NotPlaced
3.33,1,1,2,82,4.5,Yes,Yes,77,84,Placed
3.33,1,2,1,85,4.1,No,Yes,71,84,NotPlaced
2.93,0,1,1,67,4.3,No,Yes,56,65,NotPlaced
3.38,1,1,1,88,4.5,Yes,Yes,83,86,Placed
3.33,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced
3.33,0,2,1,66,4.5,No,Yes,61,71,Placed
3.78,2,3,1,85,4.3,Yes,Yes,88,80,Placed
3.51,2,1,0,71,4.8,No,Yes,56,66,NotPlaced
3.64,0,2,0,85,4.1,Yes,No,57,70,NotPlaced
3.2,1,2,0,69,4,No,Yes,55,61,NotPlaced
3.82,2,3,2,90,4.8,Yes,Yes,75,84,Placed
2.89,1,1,1,78,3.9,No,Yes,67,73,Placed
3.87,1,3,0,86,4.5,Yes,Yes,77,81,Placed
3.47,1,2,0,78,4.8,Yes,Yes,75,65,Placed
3.42,1,1,0,80,4,No,Yes,55,66,NotPlaced
2.89,0,2,0,80,4.6,Yes,Yes,62,86,Placed
3.78,1,2,1,71,3.8,Yes,Yes,78,69,NotPlaced
3.29,2,3,0,86,4.6,Yes,Yes,75,72,Placed
3.82,1,3,2,81,4.8,Yes,Yes,71,82,Placed
3.56,1,2,1,88,3.6,No,Yes,69,69,NotPlaced
3.47,1,3,1,89,4.6,Yes,Yes,73,79,Placed
3.6,1,3,2,90,4.7,Yes,No,72,87,Placed
3.2,1,2,0,83,4.5,No,Yes,74,69,NotPlaced
3.73,2,3,2,87,4.8,Yes,Yes,78,88,Placed
3.73,0,3,2,85,4.6,Yes,Yes,90,79,NotPlaced
3.69,0,3,1,88,4.7,Yes,Yes,69,80,NotPlaced
3.2,0,2,1,66,3.9,No,No,67,69,NotPlaced
3.82,2,3,2,90,4.8,Yes,Yes,77,86,Placed
3.51,2,1,0,73,4.2,No,No,56,71,NotPlaced
2.93,1,1,2,81,4.8,Yes,No,68,71,NotPlaced
3.16,1,1,1,63,3.6,No,Yes,58,68,NotPlaced
3.47,0,3,0,90,4.7,Yes,Yes,72,69,Placed
2.93,1,1,1,81,4,No,No,73,72,NotPlaced
2.89,2,3,0,79,3.7,Yes,Yes,68,86,NotPlaced
3.33,2,1,0,83,4.6,Yes,No,58,81,NotPlaced
3.33,1,2,0,70,3.7,No,Yes,55,66,NotPlaced
3.47,0,2,2,74,4.6,Yes,Yes,58,60,NotPlaced
2.93,1,2,0,71,4,No,No,55,68,Placed
3.29,1,2,0,72,4.3,No,Yes,55,62,NotPlaced
3.47,1,3,2,77,4.2,Yes,No,77,82,NotPlaced
3.64,2,3,2,90,4.8,Yes,Yes,89,84,Placed
3.96,2,3,2,89,4.6,Yes,Yes,71,83,Placed
3.64,1,2,1,90,4.8,Yes,Yes,78,71,Placed
3.33,1,3,0,70,4.2,No,Yes,60,68,NotPlaced
3.42,1,2,0,68,3.9,No,Yes,62,63,NotPlaced
3.87,1,3,2,90,4.7,Yes,Yes,81,80,Placed
3.33,1,1,1,65,4.4,No,Yes,55,60,NotPlaced
2.93,1,1,1,82,3.7,No,Yes,55,60,Placed
3.29,2,3,1,84,4.8,No,Yes,77,68,Placed
3.33,0,3,2,90,4.8,Yes,Yes,82,81,Placed
3.64,1,1,1,79,4.6,No,Yes,55,61,NotPlaced
3.87,1,2,0,84,4.4,Yes,Yes,65,88,Placed
3.56,2,3,1,87,4.2,Yes,Yes,75,81,Placed
3.73,2,2,0,76,4.4,Yes,Yes,77,73,Placed
3.56,2,2,2,81,4.5,No,No,69,71,NotPlaced
3.33,1,2,2,70,4.7,Yes,Yes,55,70,NotPlaced
2.89,1,3,2,90,4,Yes,No,85,65,Placed
3.47,0,3,2,73,4.6,Yes,No,82,85,NotPlaced
3.38,1,2,0,64,4.5,No,Yes,62,63,NotPlaced
3.87,0,3,0,75,3.7,Yes,Yes,62,74,NotPlaced
3.2,1,1,0,85,3.5,No,Yes,84,70,NotPlaced
3.6,1,3,2,90,4.7,Yes,Yes,70,85,Placed
3.29,1,2,0,77,4.1,Yes,Yes,55,77,NotPlaced
3.64,2,2,2,81,4.8,Yes,Yes,78,83,Placed
3.64,2,1,2,90,4.8,Yes,Yes,79,68,Placed
2.89,1,2,1,65,4,Yes,Yes,66,69,NotPlaced
3.29,0,2,1,73,3.8,No,No,58,70,NotPlaced
3.24,0,1,1,80,3.6,No,Yes,62,65,NotPlaced
3.87,0,1,1,87,4.1,No,No,72,63,NotPlaced
3.78,2,1,3,82,3.6,Yes,Yes,67,81,NotPlaced
3.78,1,3,2,74,4.1,No,Yes,76,68,Placed
3.51,1,2,1,76,4.1,Yes,Yes,57,66,NotPlaced
3.29,2,3,0,71,4.8,Yes,Yes,86,73,NotPlaced
2.98,1,2,0,86,4.4,No,No,76,73,Placed
3.69,2,3,2,82,4.8,Yes,Yes,57,73,Placed
3.38,1,1,0,76,4.3,No,Yes,66,69,NotPlaced
3.33,1,2,0,90,4.2,No,Yes,77,64,Placed
3.96,0,3,0,89,4.8,Yes,No,77,78,Placed
3.24,1,1,0,79,4.1,Yes,No,57,64,NotPlaced
3.82,1,2,0,86,4.8,Yes,Yes,69,77,Placed
3.64,2,3,2,90,4.8,Yes,Yes,81,84,Placed
3.42,1,1,1,73,4.6,No,No,58,72,NotPlaced
3.51,1,3,0,88,4.7,Yes,Yes,87,85,Placed
3.29,1,1,1,87,4.6,No,Yes,68,65,NotPlaced
3.07,0,1,0,90,4.5,Yes,Yes,81,80,Placed
3.56,1,3,2,90,4.8,Yes,Yes,81,86,Placed
3.16,1,3,0,81,4.4,Yes,Yes,78,72,NotPlaced
3.07,0,1,1,76,3.8,No,No,61,67,NotPlaced
3.78,2,3,2,90,4.8,Yes,Yes,80,84,Placed
3.07,0,1,2,76,4.8,Yes,No,78,82,Placed
3.24,1,1,1,77,4.7,Yes,Yes,57,75,NotPlaced
3.47,2,3,0,89,4.6,No,Yes,71,68,NotPlaced
3.69,2,1,0,81,4.1,Yes,Yes,76,83,NotPlaced
3.82,1,3,2,83,4.4,Yes,Yes,71,83,Placed
3.82,2,3,0,87,4.8,No,No,75,66,NotPlaced
3.87,2,1,0,90,4.7,Yes,Yes,74,86,Placed
3.33,1,3,2,90,4.2,Yes,Yes,80,72,Placed
3.47,0,1,1,63,4.5,No,No,61,65,NotPlaced
2.89,0,1,0,71,3.4,No,Yes,59,67,NotPlaced
3.38,1,3,1,73,4.4,No,Yes,55,62,NotPlaced
2.89,1,1,1,80,3.8,Yes,Yes,58,65,NotPlaced
3.56,1,3,0,75,4.3,No,No,57,66,NotPlaced
3.56,2,3,0,86,4.8,Yes,Yes,73,82,Placed
3.33,1,1,0,67,4.2,Yes,Yes,57,70,Placed
3.47,1,3,0,78,4.4,No,Yes,77,70,Placed
3.24,1,1,1,75,3.6,No,Yes,55,66,NotPlaced
3.47,1,2,0,82,4.7,Yes,Yes,77,67,NotPlaced
2.89,1,1,1,82,3.4,No,No,56,66,NotPlaced
3.6,1,3,3,90,4.8,Yes,Yes,69,82,Placed
3.51,0,1,0,85,4.5,Yes,No,76,81,NotPlaced
3.87,1,3,0,74,4.6,Yes,Yes,86,83,Placed
3.16,2,2,0,76,4,No,Yes,55,69,Placed
3.96,1,3,2,81,4.8,Yes,No,82,81,Placed
3.69,0,3,0,75,4.2,Yes,No,77,69,NotPlaced
